"Conformation","LigandName","AutodockAvr","VinaAvr","Average"
"conf01","av0001",-4.938,-6.020439,-5.4793
"conf08","ad0006",-5.228,-5.703652,-5.4658
"conf10","ad0010",-5.265,-5.394435,-5.3297
"conf07","sw0006",-4.728,-5.429017,-5.0786
"conf05","ad0002",-3.97,-4.705301,-4.3377
"conf06","sw0007",-4.278,-4.251705,-4.2649
"conf03","ad0008",-3.864,-4.607182,-4.2356
"conf02","sw0008",-3.396,-4.055307,-3.7257
"conf04","ad0004",-3.752,-3.590001,-3.6711
"conf09","ad0003",-3.231,-3.454892,-3.3429
"conf11","sw0001",-1.316,-1.860328,-1.5879
